thetha;voltage;altura
1;1511.921875;0
2;1734.816667;0
3;1720.216667;0
4;1747.35;0
5;2193.515152;0
6;2126.919355;0
7;1948.909091;0
8;1924.568966;0
9;1848.283333;0
10;1862.785714;0
11;1883.192982;0
12;1945.966102;0
13;1945.711538;0
14;1935.833333;0
15;1940.822581;0
16;1944.084746;0
17;1946.327586;0
18;1948.377049;0
19;1949.719298;0
20;1937.125;0
21;1937.920635;0
22;1968.444444;0
23;2003.423729;0
24;2048.709677;0
25;2049.157895;0
26;2038.660377;0
27;2035.301587;0
28;2082.491803;0
29;2140.034483;0
30;2147.370968;0
31;2216.421053;0
32;2233.758621;0
33;2328.725806;0
34;2335.759259;0
35;2339.654545;0
36;2434.423729;0
37;2438.103448;0
38;2426.833333;0
39;2424.681818;0
40;2405.701754;0
41;2340.929825;0
42;2344.3;0
43;2260.859649;0
44;2245.019608;0
45;2224.142857;0
46;2195;0
47;2166.807018;0
48;2163.774194;0
49;2169.525424;0
50;2166.777778;0
51;2135.233333;0
52;2135.419355;0
53;2138.254237;0
54;2142.557377;0
55;2103.050847;0
56;2062.142857;0
57;2035.967742;0
58;2034.639344;0
59;2038.508475;0
60;2044.517241;0
61;2006.225806;0
62;1998.690909;0
63;2034.216667;0
64;2035.403226;0
65;1971.423729;0
66;2003.964912;0
67;1987.854839;0
68;2040.553571;0
69;2034.636364;0
70;2033.859375;0
71;2039.54386;0
72;2009.087719;0
73;2046.109375;0
74;2048.824561;0
75;2038.698113;0
76;2035.283333;0
77;2037.419355;0
78;2041.931034;0
79;2047.483333;0
80;2049.733333;0
81;2043.358491;0
82;2034.967742;0
83;2036.048387;0
84;2039.152542;0
85;2046.847458;0
86;2048.016667;0
87;2045.277778;0
88;2101.118644;0
89;2120.548387;0
90;2139.872727;0
91;2145.779661;0
92;2149.016949;0
93;2145.37037;0
94;2211.355932;0
95;2234.938462;0
96;2317.783333;0
97;2342.192982;0
98;2344.109091;0
99;2429.38;0
100;2421.083333;0
101;2425.050847;0
102;2427.089286;0
103;2380.586207;0
104;2345.630769;0
105;2292.741379;0
106;2242.438596;0
107;2164.177419;0
108;2137.072727;0
109;2142.055556;0
110;2146.084746;0
111;2147.65;0
112;2138.836364;0
113;2118.966102;0
114;2042.919355;0
115;2039.967213;0
116;2045.724138;0
117;2003.473684;0
118;1981.678571;0
119;1935.22807;0
120;1938.047619;0
121;1940.344828;0
122;1946.105263;0
123;1947.770492;0
124;1898.267857;0
125;1924.509091;0
126;1875.419355;0
127;1906.65;0
128;1883.101695;0
129;1942.57377;0
130;1945.019231;0
131;1935.775862;0
132;1995.796875;0
133;2037.553571;0
134;2006.966667;0
135;1948.428571;0
136;1945.864407;0
137;1921.701754;0
138;1859.639344;0
139;1845.948276;0
140;1848.20339;0
141;1852.360656;0
142;1852.421053;0
143;1844.603448;0
144;1838.467742;0
145;1842.586207;0
146;1848.583333;0
147;1850.803279;0
148;1851.551724;0
149;1840.321429;0
150;1838.196721;0
151;1840.016393;0
152;1844.754098;0
153;1849.969231;0
154;1850.95;0
155;1840.690909;0
156;1838.640625;0
157;1841.803279;0
158;1843.559322;0
159;1851.083333;0
160;1941.672131;0
161;1935.830189;0
162;1953.245902;0
163;2028.928571;0
164;1958.965517;0
165;1960.982456;0
166;1949.466667;0
167;1940.178571;0
168;1921.87931;0
169;1848.655172;0
170;1846.904762;0
171;1852.1;0
172;1852.183333;0
173;1848.888889;0
