thetha;voltage;altura
1;2763.652174;0
2;2890.060606;0
3;2892.172414;0
4;2813.854545;0
5;2799.044118;0
6;2799.910714;0
7;2803.258065;0
8;2806.9375;0
9;2808.052632;0
10;2799.071429;0
11;2797.924242;0
12;2800.821429;0
13;2845.225806;0
14;2888.761905;0
15;2891.947368;0
16;2887.133333;0
17;2884.882353;0
18;2887.868852;0
19;2889.672131;0
20;2892.1;0
21;2895.222222;0
22;2962.263158;0
23;2976.4;0
24;2978.896552;0
25;2981.534483;0
26;3063.034483;0
27;3070.779661;0
28;3067.698413;0
29;3146.089552;0
30;3193.355932;0
31;3232.40678;0
32;3273.346154;0
33;3301.181818;0
34;3301.6;0
35;3302;0
36;3238.072727;0
37;3171.160714;0
38;3161.683333;0
39;3116.830189;0
40;3091.685185;0
41;3066.84375;0
42;3042.222222;0
43;2989.40678;0
44;2983.5;0
45;2980.645161;0
46;2891.854545;0
47;2884.84127;0
48;2886.117647;0
49;2811.701754;0
50;2806.311475;0
51;2805.881356;0
52;2799.172414;0
53;2710.448276;0
54;2707.721311;0
55;2708.525424;0
56;2714.174603;0
57;2716.403509;0
58;2710.916667;0
59;2647.362069;0
60;2630.58209;0
61;2626.473684;0
62;2621.6;0
63;2624.393443;0
64;2621.86;0
65;2614.283333;0
66;2559.054795;0
67;2525.446429;0
68;2494.328125;0
69;2495.790323;0
70;2491;0
71;2484.264706;0
72;2401.55;0
73;2387.20339;0
74;2305.967742;0
75;2207.789474;0
76;2110.678571;0
77;1995.2;0
78;1908.42623;0
79;1803.629032;0
80;1710.095238;0
81;1698.842105;0
82;1597.396226;0
83;1586.133333;0
84;1588.363636;0
85;1591.052632;0
86;1591.172414;0
87;1592.83871;0
88;1590.6;0
89;1583.096774;0
90;1587.555556;0
91;1555.064516;0
92;1501.448276;0
93;1492.913793;0
94;1488.982143;0
95;1480.783333;0
96;1481.779412;0
97;1414.935484;0
98;1395.686869;0
99;1390.571429;0
100;1390.566667;0
101;1379.259259;0
102;1380.377049;0
103;1382.301887;0
104;1345.559322;0
105;1293.078125;0
106;1291.827586;0
107;1276.948276;0
108;1280.434343;0
109;1279.901639;0
110;1281.59322;0
111;1284.552239;0
112;1285.262295;0
113;1273.272727;0
114;1254.84127;0
115;1212.327869;0
116;1180.103448;0
117;1180.559322;0
118;1183.017857;0
119;1176.04;0
120;1170.754098;0
121;1176.709091;0
122;1180.75;0
123;1182.016667;0
124;1184.320755;0
125;1176.2;0
126;1111.220339;0
127;1079;0
128;1079.266667;0
129;1080.35;0
130;1082.6;0
131;1074.403509;0
132;1155.25641;0
133;1177.344828;0
134;1180.612903;0
135;1181.586207;0
136;1216.192982;0
137;1179.822222;0
138;1172.066667;0
139;1177.254237;0
140;1180.933333;0
141;1199.016129;0
142;1184.121212;0
143;1180.882353;0
144;1172.6;0
145;1176.966102;0
146;1180.033333;0
147;1182.810345;0
148;1183.377358;0
149;1175.958333;0
150;1196;0
151;1177.951613;0
152;1180.112903;0
153;1250.151899;0
154;1281.864407;0
155;1279.421053;0
156;1277.705882;0
157;1281.0625;0
158;1282.932203;0
159;1284.316667;0
160;1286.355932;0
161;1370.905405;0
162;1381.440678;0
163;1383.964912;0
164;1387.709091;0
165;1391.446154;0
166;1486.298701;0
167;1485.186441;0
168;1482.764706;0
169;1488.425926;0
170;1489.982143;0
171;1542.620253;0
172;1572.677966;0
173;1589.051724;0
174;1584.461538;0
175;1589.758065;0
176;1591.672131;0
177;1637.772152;0
178;1675.603175;0
179;1689.224138;0
180;1690.888889;0
181;1693.775862;0
182;1696.033898;0
183;1697.410714;0
184;1700.222222;0
185;1693.346154;0
186;1690.112903;0
187;1693.881356;0
188;1695.981818;0
189;1631.982759;0
190;1601.483871;0
191;1588.333333;0
192;1524.706897;0
193;1489.589286;0
194;1491.428571;0
195;1490.967213;0
196;1492.433962;0
197;1484.142857;0
198;1483.115942;0
199;1487.709091;0
200;1418.666667;0
201;1438.210526;0
202;1399.355932;0
203;1417.52459;0
204;1384.245902;0
205;1386.166667;0
206;1390.245902;0
207;1391.564516;0
208;1392.672414;0
209;1382.732143;0
210;1383.234375;0
211;1386.517241;0
212;1464.471264;0
213;1479.705882;0
214;1463.616667;0
215;1478.84507;0
216;1483.188406;0
217;1489.425926;0
218;1492.865385;0
219;1493.766667;0
220;1492.912281;0
221;1482.676923;0
222;1484.75;0
223;1488.818182;0
224;1492.203704;0
225;1556.794521;0
226;1529.724138;0
227;1581.185714;0
228;1587.876923;0
229;1592.360656;0
230;1595.065574;0
231;1595.888889;0
232;1595.087719;0
233;1587.57377;0
234;1589.290323;0
235;1630.721311;0
236;1684.333333;0
237;1701.067797;0
238;1699.296296;0
239;1771.074074;0
240;1791.461538;0
241;1887.632911;0
242;1973.344828;0
243;2077.68;0
244;2172.853659;0
245;2249.432099;0
246;2371.857143;0
247;2476.085106;0
248;2680.683673;0
249;2832.701031;0
250;2965.840909;0
251;3055.614458;0
252;3066.836066;0
253;3066.859649;0
254;2992.257576;0
255;2983.15;0
256;2934.483871;0
257;2762.846939;1
258;2888.234568;1
259;2890.721311;1
260;2825.927273;1
261;2797.984615;1
262;2797.814815;1
263;2801.584615;1
264;2805.059701;1
265;2804.135593;1
266;2795.9;1
267;2794.081967;1
268;2797.038462;1
269;2830.259259;1
270;2889.242857;1
271;2889.087719;1
272;2885.118644;1
273;2884.287879;1
274;2885.746032;1
275;2887.770492;1
276;2891.540984;1
277;2922.363636;1
278;2971.061538;1
279;2976.068966;1
280;2976.416667;1
281;3010.337209;1
282;3032.54902;1
283;3067.955224;1
284;3065.224138;1
285;3143.083333;1
286;3153.307692;1
287;3228.179487;1
288;3293.441558;1
289;3298.777778;1
290;3299.866667;1
291;3299.935484;1
292;3237.446429;1
293;3171.423729;1
294;3157.385965;1
295;3132.137931;1
296;3081.716667;1
297;3064.236364;1
298;3065.525424;1
299;2991.515625;1
300;2979.327869;1
301;2937.719298;1
302;2902.529412;1
303;2882.904762;1
304;2883.393443;1
305;2810.754098;1
306;2803.548387;1
307;2803.031746;1
308;2796.949153;1
309;2736.84127;1
310;2706.694915;1
311;2708.872727;1
312;2711.360656;1
313;2713.283019;1
314;2703.107143;1
315;2702.836066;1
316;2628.514706;1
317;2619.721311;1
318;2622.681818;1
319;2622.581818;1
320;2613.098361;1
321;2615.828283;1
322;2616.75;1
323;2528.412698;1
324;2494.790323;1
325;2492.836066;1
326;2488.830189;1
327;2484.131148;1
328;2401.746269;1
329;2391.114754;1
330;2307.594203;1
331;2209.333333;1
332;2116.418182;1
333;1996.285714;1
334;1909.730159;1
335;1804.426471;1
336;1724.153846;1
337;1700.298246;1
338;1608.209677;1
339;1586.765625;1
340;1591.016667;1
341;1592.316667;1
342;1593.854839;1
343;1595.887097;1
344;1588.280702;1
345;1588.076923;1
346;1590.465517;1
347;1553.451613;1
348;1535.290323;1
349;1496.263158;1
350;1488.745455;1
351;1481.264706;1
352;1485.142857;1
353;1456.288136;1
354;1410.793103;1
355;1392.951613;1
356;1390.732143;1
357;1378.745763;1
358;1382.783333;1
359;1385.293103;1
360;1386.303571;1
361;1339.491803;1
362;1287.20339;1
363;1279.349206;1
364;1278.761905;1
365;1281.746032;1
366;1283.283333;1
367;1284.866667;1
368;1282.648148;1
369;1275.910448;1
370;1280.385965;1
371;1246.303571;1
372;1222.416667;1
373;1184.105263;1
374;1178.826923;1
375;1172.368421;1
376;1175.754386;1
377;1177.59322;1
378;1179.966667;1
379;1183.105263;1
380;1180.304348;1
381;1170.803279;1
382;1110.854545;1
383;1079.311475;1
384;1079.229508;1
385;1080.433333;1
386;1073.142857;1
387;1071.753846;1
388;1142.274725;1
389;1177.16129;1
390;1180.169492;1
391;1183.527273;1
392;1221.025974;1
393;1203.892308;1
394;1273.649351;1
395;1243.333333;1
396;1202.33871;1
397;1189.592593;1
398;1176.714286;1
399;1172.419355;1
400;1176;1
401;1179.051724;1
402;1180.283333;1
403;1184;1
404;1172.892857;1
405;1173.864407;1
406;1175.932203;1
407;1199.40625;1
408;1197.080645;1
409;1209.62069;1
410;1274.057143;1
411;1276.671642;1
412;1280.666667;1
413;1281.870968;1
414;1284.063492;1
415;1285.847458;1
416;1298.847458;1
417;1358.902439;1
418;1382.101695;1
419;1386.309091;1
420;1390.348485;1
421;1390.533333;1
422;1453.52;1
423;1479.333333;1
424;1483.457627;1
425;1489.037736;1
426;1488.893939;1
427;1488.315789;1
428;1576.582278;1
429;1584.276923;1
430;1588.311475;1
431;1590;1
432;1591.630769;1
433;1646.676471;1
434;1679.422535;1
435;1687.716667;1
436;1692.12069;1
437;1693.362069;1
438;1694.45;1
439;1696.846154;1
440;1686.903846;1
441;1688.052632;1
442;1690.859649;1
443;1693.821429;1
444;1696.566667;1
445;1642.224138;1
446;1588.948276;1
447;1585.790323;1
448;1500.896552;1
449;1488.87037;1
450;1487.933333;1
451;1408.896552;1
452;1382.813559;1
453;1379.580645;1
454;1384.388889;1
455;1386.196429;1
456;1387.05;1
457;1388.114754;1
458;1377.736842;1
459;1381.672131;1
460;1384.614035;1
461;1386.542373;1
462;1390.215385;1
463;1389.413793;1
464;1377.473684;1
465;1379.786885;1
466;1383.241379;1
467;1386.018182;1
468;1389.516129;1
469;1388.578947;1
470;1377.655172;1
471;1401.516129;1
472;1387.321429;1
473;1442.5;1
474;1485.676471;1
475;1486.090909;1
476;1478.71831;1
477;1482.573529;1
478;1483.904762;1
479;1488.944444;1
480;1487.830508;1
481;1486.245283;1
482;1479.181818;1
483;1581.090909;1
484;1495.193548;1
485;1588.2375;1
486;1592.983333;1
487;1588.844828;1
488;1584.6875;1
489;1604.079365;1
490;1590.370968;1
491;1639;1
492;1685.25;1
493;1686.872727;1
494;1687.327586;1
495;1775.816092;1
496;1790.245902;1
497;1880.024691;1
498;1946.57971;1
499;1987.888889;1
500;2080.380952;1
501;2215.714286;1
502;2359.793814;1
503;2481.340426;1
504;2683.540816;1
505;2836.357143;1
506;2953.482353;1
507;3048.068966;1
508;3064.619048;1
509;3068.245902;1
510;2998.888889;1
511;2975.740741;1
512;2919.868852;1
513;2761.489796;2
514;2880.695122;2
515;2840.367647;2
516;2818.949153;2
517;2800.45614;2
518;2804.03125;2
519;2802.916667;2
520;2795.216667;2
521;2793.701754;2
522;2797.09434;2
523;2801.692308;2
524;2802.95082;2
525;2864.3625;2
526;2880.25;2
527;2883.079365;2
528;2886.590164;2
529;2887.887097;2
530;2890.515625;2
531;2888.655172;2
532;2884.065574;2
533;2925.6875;2
534;2972.876923;2
535;2977.416667;2
536;2979.877193;2
537;2989.191176;2
538;3062;2
539;3064.848485;2
540;3066.809524;2
541;3141.425;2
542;3155.172414;2
543;3224.407895;2
544;3242.64557;2
545;3298.720588;2
546;3299.982759;2
547;3299.783333;2
548;3239.916667;2
549;3189.137255;2
550;3152.237288;2
551;3152.535714;2
552;3092.5;2
553;3070.721311;2
554;3068.898305;2
555;2998.65;2
556;2974.245902;2
557;2973.935484;2
558;2899.842105;2
559;2889.640625;2
560;2891.694915;2
561;2831.709091;2
562;2799.051724;2
563;2794.881356;2
564;2795.561404;2
565;2736.966667;2
566;2712.372881;2
567;2710.235294;2
568;2699.378788;2
569;2703.311475;2
570;2706.5;2
571;2676.015385;2
572;2703.318182;2
573;2624.542373;2
574;2623.557377;2
575;2614.909091;2
576;2616.672131;2
577;2620.966102;2
578;2546.870968;2
579;2546.610169;2
580;2489.229508;2
581;2485.639344;2
582;2487.262295;2
583;2490.210526;2
584;2404.606061;2
585;2393.270833;2
586;2296.948276;2
587;2203.68254;2
588;2107.014493;2
589;2009.066667;2
590;1909.298507;2
591;1803.224138;2
592;1694.491228;2
593;1688.539683;2
594;1601.6875;2
595;1589.274194;2
596;1591.627119;2
597;1591.12069;2
598;1581.793651;2
599;1586.796875;2
600;1589.440678;2
601;1591.482759;2
602;1593.396552;2
603;1585.438596;2
604;1512.852459;2
605;1484.130435;2
606;1483.786885;2
607;1489.409836;2
608;1443.018868;2
609;1478.914286;2
610;1389.815385;2
611;1387.846154;2
612;1385.741379;2
613;1387.181818;2
614;1390.683333;2
615;1385.517857;2
616;1379.031746;2
617;1383.655172;2
618;1350.45;2
619;1291.04918;2
620;1285.786885;2
621;1282.622642;2
622;1277.016129;2
623;1279.393939;2
624;1283.15;2
625;1282.725806;2
626;1285.433333;2
627;1279.589286;2
628;1268.47541;2
629;1181.746269;2
630;1177.689655;2
631;1181.224138;2
632;1181.741379;2
633;1172.314815;2
634;1172.238095;2
635;1175.393443;2
636;1178.491525;2
637;1179.590164;2
638;1181.321429;2
639;1085.578947;2
640;1074.548387;2
641;1073.766667;2
642;1076.868852;2
643;1078.47619;2
644;1155.514286;2
645;1169.3;2
646;1168.819672;2
647;1238.588235;2
648;1203.442623;2
649;1277.782051;2
650;1282.844828;2
651;1221.410714;2
652;1174.383333;2
653;1198.651515;2
654;1182.807018;2
655;1176.875;2
656;1179.948276;2
657;1170.483871;2
658;1169.1875;2
659;1172.192982;2
660;1174.8;2
661;1177.637931;2
662;1181.789474;2
663;1207.473684;2
664;1228.20339;2
665;1275.014085;2
666;1279.916667;2
667;1281.354839;2
668;1283.209677;2
669;1282.557692;2
670;1275.033898;2
671;1276.215385;2
672;1277.683333;2
673;1355.433735;2
674;1386.116667;2
675;1385.265306;2
676;1374.982456;2
677;1378.067797;2
678;1451.738095;2
679;1484.206349;2
680;1486.190476;2
681;1486.431373;2
682;1478.5;2
683;1526.25;2
684;1580.772152;2
685;1589.193548;2
686;1589.47541;2
687;1589.181818;2
688;1580.584615;2
689;1588.596774;2
690;1623.163934;2
691;1688.222222;2
692;1691.275862;2
693;1694.203704;2
694;1684.660714;2
695;1684.04918;2
696;1688.109091;2
697;1690.678571;2
698;1693.95082;2
699;1693.708333;2
700;1682.6;2
701;1685.306452;2
702;1601.645161;2
703;1552.375;2
704;1492.362069;2
705;1430.142857;2
706;1391.015385;2
707;1380.068966;2
708;1381.438596;2
709;1384.089286;2
710;1387.385965;2
711;1383.019608;2
712;1374.901639;2
713;1378.016667;2
714;1381.672414;2
715;1383.963636;2
716;1386.5;2
717;1382.764706;2
718;1374.881356;2
719;1377.508475;2
720;1381.724138;2
721;1383.081967;2
722;1384.163636;2
723;1379.52;2
724;1374.467742;2
725;1378.719298;2
726;1380.147541;2
727;1382.214286;2
728;1383.5;2
729;1381.979592;2
730;1446.833333;2
731;1478.911765;2
732;1480.866667;2
733;1483.34375;2
734;1485.095238;2
735;1484.963636;2
736;1476.393443;2
737;1478.621212;2
738;1481.2;2
739;1483.530303;2
740;1532.40625;2
741;1576.152542;2
742;1576.507692;2
743;1582.69697;2
744;1586.888889;2
745;1586.84127;2
746;1590.634921;2
747;1591.048387;2
748;1676.012346;2
749;1686.1;2
750;1691.1;2
751;1779.158537;2
752;1789.967213;2
753;1838.725;2
754;1880.857143;2
755;1972.011236;2
756;2075.939759;2
757;2179.746988;2
758;2283.617978;2
759;2462.252632;2
760;2655.385417;2
761;2802.030612;2
762;2945.020619;2
763;3052.076923;2
764;3063.180328;2
765;3059.25;2
766;2986.803279;2
767;2971.245614;2
768;2928.636364;2
769;2755.102041;3
770;2877.413793;3
771;2884.402985;3
772;2810.764706;3
773;2795.254902;3
774;2788.129032;3
775;2793.733333;3
776;2792.980769;3
777;2796.037037;3
778;2800.672131;3
779;2799.066667;3
780;2802.535714;3
781;2839.457143;3
782;2881.044776;3
783;2885.815385;3
784;2887.032258;3
785;2882.666667;3
786;2879.766667;3
787;2880.921875;3
788;2925.45;3
789;2970.212121;3
790;2976.642857;3
791;2971.245614;3
792;2968.390625;3
793;2972.575758;3
794;3059.079545;3
795;3064.777778;3
796;3068.460317;3
797;3140.588235;3
798;3146.211268;3
799;3227.505882;3
800;3293.482353;3
801;3299.1;3
802;3298.147541;3
803;3297.793103;3
804;3234.596774;3
805;3174.631579;3
806;3149.943396;3
807;3153.981481;3
808;3114.377049;3
809;3069.62069;3
810;3061.016949;3
811;2988.863636;3
812;2972.762712;3
813;2975.396552;3
814;2909.189655;3
815;2884.181818;3
816;2879.269841;3
817;2844.372881;3
818;2803.590164;3
819;2797.526316;3
820;2800.106061;3
821;2728.622642;3
822;2699.927536;3
823;2699.095238;3
824;2703.45283;3
825;2707.896552;3
826;2709.574074;3
827;2657.961538;3
828;2632.313433;3
829;2621.192982;3
830;2614.876923;3
831;2617.969231;3
832;2619.694915;3
833;2609.482759;3
834;2549.888889;3
835;2501.028986;3
836;2498.196721;3
837;2488.949153;3
838;2489.280702;3
839;2481.448276;3
840;2397.689655;3
841;2360.305085;3
842;2294.596491;3
843;2220.1875;3
844;2107.538462;3
845;2003.5;3
846;1894.584615;3
847;1793.611111;3
848;1707.878788;3
849;1691.410714;3
850;1646.131148;3
851;1590.037037;3
852;1579.733333;3
853;1583.369231;3
854;1585.515152;3
855;1589.064516;3
856;1590.016393;3
857;1584.545455;3
858;1579.5;3
859;1564.619048;3
860;1498.844828;3
861;1485.095238;3
862;1486.22807;3
863;1480.140351;3
864;1477.283582;3
865;1458.033898;3
866;1396.982759;3
867;1392.709677;3
868;1384.701754;3
869;1382.82;3
870;1374.819672;3
871;1378.266667;3
872;1380.912281;3
873;1385.145455;3
874;1385.433333;3
875;1291.637931;3
876;1275.15873;3
877;1277.145161;3
878;1278.551724;3
879;1281.459016;3
880;1282.05;3
881;1277.438596;3
882;1274.630769;3
883;1277.666667;3
884;1279.178571;3
885;1233.933333;3
886;1267.823529;3
887;1176.54902;3
888;1169.166667;3
889;1172.706897;3
890;1175.948276;3
891;1179.677966;3
892;1179.703704;3
893;1171.528302;3
894;1169.644068;3
895;1146.280702;3
896;1080.070175;3
897;1075.859375;3
898;1077.596491;3
899;1069.5;3
900;1150.710843;3
901;1170.568966;3
902;1174.758621;3
903;1262.784946;3
904;1282.403226;3
905;1274.810345;3
906;1274.666667;3
907;1278.918033;3
908;1245.072727;3
909;1205.322581;3
910;1186.62069;3
911;1196.258065;3
912;1171.428571;3
913;1193.859649;3
914;1212.241935;3
915;1178.888889;3
916;1185.830189;3
917;1174.240741;3
918;1198.329114;3
919;1246.054545;3
920;1258.080645;3
921;1281.046154;3
922;1282.127273;3
923;1272.733333;3
924;1274.734375;3
925;1277.241379;3
926;1279.758621;3
927;1281.083333;3
928;1282.807018;3
929;1342.238806;3
930;1372.150685;3
931;1379.644068;3
932;1382.982143;3
933;1385.053571;3
934;1474.848101;3
935;1483.457627;3
936;1476.757576;3
937;1479.921875;3
938;1481.390625;3
939;1482.203125;3
940;1585.170732;3
941;1584.789474;3
942;1578.269841;3
943;1582.343284;3
944;1620.044776;3
945;1663.133333;3
946;1693.293103;3
947;1691.92;3
948;1683.15;3
949;1685.16129;3
950;1687.436364;3
951;1690.711864;3
952;1691.033898;3
953;1693.461538;3
954;1682.789474;3
955;1685.129032;3
956;1687.857143;3
957;1656.5;3
958;1595.047619;3
959;1587;3
960;1486.868852;3
961;1479;3
962;1444.870968;3
963;1426.081967;3
964;1396.469697;3
965;1383.381818;3
