thetha;voltage;altura
1;1910.423913;0
2;2102.694118;0
3;2097.481481;0
4;2124.046875;0
5;2114.2;0
6;2137.986111;0
7;2148.910714;0
8;2154.424242;0
9;2153.913793;0
10;2142.642857;0
11;2136.85;0
12;2140.842105;0
13;2147.916667;0
14;2112.064516;0
15;2100.018868;0
16;2089.111111;0
17;2132.694444;0
18;2118.484848;0
19;2108.890909;0
20;2148.935897;0
21;2153.5;0
22;2097.087719;0
23;2132.821918;0
24;2101.212121;0
25;2113.175439;0
26;2109;0
27;2092.566667;0
28;2062.081967;0
29;2070.720588;0
30;2067.734375;0
31;2099.955224;0
32;2087.111111;0
33;2088.827586;0
34;2068.534483;0
35;2077.955224;0
36;2068.813559;0
37;2066.147541;0
38;2066.610169;0
39;2102.132353;0
40;2101.017857;0
41;2061.892857;0
42;2069.408451;0
43;2092.764706;0
44;2064.803279;0
45;2102.971014;0
46;2103.666667;0
47;2090.148148;0
48;2120.184615;0
49;2135.256757;0
50;2114.52381;0
51;2145.115385;0
52;2110.40625;0
53;2150.7;0
54;2128.132075;0
55;2117.737705;0
56;2074.857143;0
57;2105.136364;0
58;2106.135593;0
59;2098.37931;0
60;2138.679487;0
61;2137.083333;0
62;2140.303571;0
63;2145.578947;0
64;2112.283333;0
65;2148.391892;0
66;2147.518519;0
67;2132.538462;0
68;2117.910448;0
69;2107.701754;0
70;2148.205128;0
71;2156.118644;0
72;2148.830189;0
73;2137.229508;0
74;2139.603448;0
75;2142.783333;0
76;2148.232143;0
77;2154.392857;0
78;2151.941176;0
79;2136.542373;0
80;2141.936508;0
81;2144.285714;0
82;2150.210526;0
83;2155.833333;0
84;2154.666667;0
85;2137.824561;0
86;2139.032258;0
87;2141.982143;0
88;2148.694915;0
89;2154.258065;0
90;2153.032787;0
91;2139.236364;0
92;2138.193548;0
93;2141.473684;0
94;2148.898305;0
95;2154.819672;0
96;2154.140351;0
97;2141.555556;0
98;2140.04918;0
99;2143.813559;0
100;2146.322034;0
101;2154.560606;0
102;2157.839286;0
103;2147.851852;0
104;2138.539683;0
105;2143;0
106;2145.559322;0
107;2152.854839;0
108;2155.47541;0
109;2155.38;0
110;2137.933333;0
111;2143.016667;0
112;2144.210526;0
113;2149.964286;0
114;2156.714286;0
115;2155;0
116;2140.719298;0
117;2138.421053;0
118;2145.666667;0
119;2148.065574;0
120;2155.032787;0
121;2155.745455;0
122;2141.425926;0
123;2138.737705;0
124;2142.877193;0
125;2144.55;0
126;2153.323077;0
127;2157.280702;0
128;2147.672727;0
129;2136.412698;0
130;2143.112903;0
131;2144.945455;0
132;2152.229508;0
133;2156.868852;0
134;2151.901961;0
135;2140.403226;0
136;2121.84375;0
137;2139.333333;0
138;2147.566667;0
139;2113.350877;0
140;2099.684211;0
141;2056.280702;0
142;2042.888889;0
143;2052.650794;0
144;2060.651515;0
145;2054.301587;0
146;2052.655172;0
147;2040.113208;0
148;2038.030769;0
149;2041.47541;0
150;2046.633333;0
151;2051.75;0
152;2054.563636;0
153;2048.181818;0
154;2038.84127;0
155;2041.307692;0
156;2043.666667;0
157;2049.147541;0
158;2052.109091;0
159;2050;0
160;2037.951613;0
161;2042.045455;0
162;2043.821429;0
163;2048.590164;0
164;2053.746032;0
165;2052.6;0
166;2036.75;0
167;2040.777778;0
168;2043.868852;0
169;2049.482759;0
170;2054.459016;0
171;2049.981818;0
172;2039.220339;0
173;2040.215385;0
174;2042.142857;0
175;2049.754098;0
176;2053.5;0
177;2052.052632;0
178;2034.753846;0
179;2039.546875;0
180;2042.568966;0
181;2048.881356;0
182;2051.776119;0
183;2055.067797;0
184;2038.868852;0
185;2038.5;0
186;2041.366667;0
187;2049.372881;0
188;2053.278689;0
189;2054.017857;0
190;2039.983871;0
191;2039.138462;0
192;2042.983051;0
193;2047.333333;0
194;2054.770492;0
195;2053.377358;0
196;2043.603448;0
197;2038.015625;0
198;2043.650794;0
199;2046;0
200;2052;0
201;2008.737705;0
202;2040.333333;0
203;2038.107692;0
204;2041.333333;0
205;2044.229508;0
206;2048.516129;0
207;2053.983051;0
208;2050.814815;0
209;2039.677419;0
210;2039.939394;0
211;2045.15;0
212;2049.237288;0
213;2052.5;0
214;2054.877193;0
215;2044.285714;0
216;2040.349206;0
217;2041.836066;0
218;2048.189655;0
219;2054;0
220;2053.254545;0
221;2044.054545;0
222;2040.048387;0
223;2043.21875;0
224;2044.655738;0
225;2050.52459;0
