thetha;voltage;altura
1;1949.510638;0
2;2156.83871;0
3;2161.706897;0
4;2154.425926;0
5;2143.734375;0
6;2202.797468;0
7;2210.742424;0
8;2250.956522;0
9;2256.089286;0
10;2250.714286;0
11;2241.428571;0
12;2309.731707;0
13;2337.419355;0
14;2349.092308;0
15;2351.918033;0
16;2353.5;0
17;2357.53125;0
18;2421.831169;0
19;2430.898305;0
20;2434.758621;0
21;2441;0
22;2479.757576;0
23;2516.273973;0
24;2518.101695;0
25;2520.083333;0
26;2524.163934;0
27;2529.54386;0
28;2570.462687;0
29;2635.949367;0
30;2637.5;0
31;2642.546875;0
32;2646.358491;0
33;2652.258621;0
34;2657.2;0
35;2667.032258;0
36;2660.266667;0
37;2705.373134;0
38;2723.806452;0
39;2738.925373;0
40;2743.350877;0
41;2691.862069;0
42;2723.373333;0
43;2731.861538;0
44;2735.25;0
45;2738.370968;0
46;2742.016393;0
47;2740.982759;0
48;2730.403226;0
49;2734.430769;0
50;2737.283333;0
51;2740.253968;0
52;2701.25;0
53;2734.3125;0
54;2685.636364;0
55;2700.733333;0
56;2684.881356;0
57;2719.625;0
58;2689.098361;0
59;2656.653846;0
60;2639.101695;0
61;2639.8125;0
62;2641.383333;0
63;2608.65;0
64;2562.046875;0
65;2528.690909;0
66;2518.25;0
67;2521.366667;0
68;2498.619048;0
69;2441.610169;0
70;2451.387097;0
71;2438.590164;0
72;2429.396552;0
73;2428.969697;0
74;2431.224138;0
75;2434.830508;0
76;2440.372881;0
77;2440.732143;0
78;2430.117647;0
79;2370.112903;0
80;2347.712121;0
81;2345.509091;0
82;2352.089552;0
83;2352.75;0
84;2341.086207;0
85;2285.283333;0
86;2252.709677;0
87;2249.610169;0
88;2253.16129;0
89;2209.590164;0
90;2161.685185;0
91;2145.561404;0
92;2145.375;0
93;2148.071429;0
94;2196.111111;0
95;2113.52381;0
96;2061.588235;0
97;2044.222222;0
98;2044.965517;0
99;2049.316667;0
100;2053.135593;0
101;2009.885246;0
102;1961.77193;0
103;1940.661017;0
104;1943.377049;0
105;1919.355932;0
106;1879.396226;0
107;1856.597015;0
108;1806;0
109;1757.192982;0
110;1748.16129;0
111;1752.181818;0
112;1689.096154;0
113;1659.888889;0
114;1709.241935;0
115;1652.232143;0
116;1647.765625;0
117;1651.177419;0
118;1655.112903;0
119;1659.413793;0
120;1662.672414;0
121;1626.688889;0
122;1599.069444;0
123;1569.719298;0
124;1571.709091;0
125;1561.851852;0
126;1562.517241;0
127;1560.283019;0
128;1543.380952;0
129;1549.107692;0
130;1523.416667;0
131;1482.918033;0
132;1469.163934;0
133;1462.6;0
134;1446.035088;0
135;1448.140625;0
136;1452.295082;0
137;1458.483871;0
138;1416.193548;0
139;1404.578947;0
140;1431.967213;0
141;1385.71875;0
142;1353.5;0
143;1354.949153;0
144;1358.52459;0
145;1359.811321;0
146;1345.553571;0
147;1347.447761;0
148;1350.982759;0
149;1353.714286;0
150;1357.203125;0
151;1359.036364;0
152;1352.092593;0
153;1345.484375;0
154;1348.344262;0
155;1354.015152;0
156;1358.145161;0
157;1360.775862;0
158;1300.941176;0
159;1327.435484;0
