Tension;Distancia
2711.987903;175
2703.226611;176
2625.011792;177
2626.076923;178
2622.698765;179
2622.956432;180
2535.672727;181
2530.194779;182
2531.868421;183
2481.164659;184
2435.381944;185
2436.787879;186
2434.123984;187
2307.810638;188
2302.773092;189
2301.140562;190
2262.434608;191
2202.237425;192
2203.606426;193
2200.595573;194
2113.331992;195
2107.445977;196
2109.462926;197
2080.548387;198
2014.655242;199
2013.192308;200
2014.399598;201
1939.058468;202
1919.369478;203
1918.847695;204
1909.989919;205
1822.042169;206
1821.136546;207
1820.344064;208
1759.580321;209
1724.777778;210
1725.110442;211
1717.546559;212
1626.816901;213
1626.997996;214
1625.971774;215
1561.386774;216
1532.287149;217
1532.97992;218
1519.871486;219
1429.052209;220
1429.432596;221
1429.64257;222
1331.350114;223
1327.768145;224
1325.831382;225
1256.161716;226
1224.50503;227
1225.677355;228
1195.120482;229
1122.870707;230
1121.577465;231
1110.279116;232
1018.967871;233
1019.711694;234
1017.016097;235
918.6726908;236
917.5070423;237
917.7389558;238
831.315261;239
815.8433735;240
815.2857143;241
713.5291751;242
689.747495;243
689.7384306;244
612.7281947;245
