thetha;voltage;altura
0;2519.055556;0
0;2545.782051;1
0;2546.054054;2
0;2545.230769;3
0;2546.454545;4
0;2546.421875;5
0;2547.27027;6
0;2546.770492;7
0;2547.396825;8
0;2546.907692;9
0;2548.621212;10
0;2550.571429;11
0;2548.797101;12
0;2550.583333;13
0;2545.746835;14
0;2550.581081;15
0;2546.223881;16
0;2551.77027;17
0;2543.863636;18
0;2477.59596;19
0;2469.728571;20
0;2469.916667;21
0;2463.188406;22
0;2466.485714;23
0;2470.447761;24
0;2463.633333;25
0;2471.112676;26
0;2465.323944;27
0;2468.767677;28
0;2469.447761;29
0;2466.690909;30
0;2471.855072;31
0;2467.112676;32
0;2471.58209;33
0;2396.649485;34
0;2416.515625;35
0;2347.546392;36
0;2363.878378;37
0;2342.693333;38
0;2341.290323;39
0;2340.969231;40
0;2344.285714;41
0;2339.380282;42
0;2346.767123;43
0;2338.557377;44
0;2347.30303;45
0;2339.916667;46
0;2344.914286;47
0;2340.333333;48
0;2308.548387;49
0;2279.166667;50
0;2274.871429;51
0;2243.855263;52
0;2239.171875;53
0;2233.571429;54
0;2239.565217;55
0;2233.453125;56
0;2239.3;57
0;2234.014706;58
0;2239.16129;59
0;2235.033898;60
0;2238.065574;61
0;2234.602941;62
0;2234.480769;63
0;2162.571429;64
0;2160.444444;65
0;2142.738462;66
0;2132.482759;67
0;2132.432836;68
0;2133.830508;69
0;2130.797101;70
0;2137.450704;71
0;2129.484848;72
0;2135.761194;73
0;2131.985075;74
0;2132.215385;75
0;2137.973333;76
0;2130.276316;77
0;2099.813333;78
0;2133.583333;79
0;2106.107692;80
0;2096.279412;81
0;2028.849462;82
0;2035.044776;83
0;2035.109091;84
0;2035.310345;85
0;2034.191176;86
0;2032.457143;87
0;2033.566667;88
0;2030.666667;89
0;2038.530303;90
0;2036.418919;91
0;2033.575758;92
0;1966.734694;93
0;1962.272727;94
0;1950.397059;95
0;1928.927536;96
0;1935.272727;97
0;1929.45;98
0;1935.897059;99
0;1930.688525;100
0;1936.788732;101
0;1932.014706;102
0;1937.107692;103
0;1933.507042;104
0;1929.094595;105
0;1879.416667;106
0;1902.868421;107
0;1827.408163;108
0;1864.435897;109
0;1828.87013;110
0;1832.366667;111
0;1829.884615;112
0;1831.389831;113
0;1829.986111;114
0;1828.596774;115
0;1831.909091;116
0;1828.951613;117
0;1835.220588;118
0;1829.941176;119
0;1835.467742;120
0;1829.211268;121
0;1836.65625;122
0;1830.107143;123
0;1836.173913;124
0;1731.377551;125
0;1734.571429;126
0;1625.295918;127
0;1630.257576;128
0;1516.081633;129
0;1338.030612;130
0;1221.27551;131
0;1013.173469;132
0;895.4387755;133
0;595.3877551;134
0;369.0204082;135
0;152.744898;136
0;0;137
0;0;138
0;0;139
0;0;140
0;0;141
0;0;142
0;0;143
0;0;144
0;0;145
0;0;146
0;0;147
0;0;148
0;0;149
0;0;150
0;0;151
0;0;152
0;0;153
0;0;154
0;0;155
0;0;156
0;0;157
0;0;158
0;0;159
0;0;160
0;0;161
0;0;162
0;0;163
0;0;164
0;0;165
0;0;166
0;0;167
0;0;168
0;0;169
0;0;170
0;0;171
0;0;172
0;0;173
0;0;174
0;0;175
0;0;176
0;0;177
0;0;178
0;0;179
0;0;180
0;0;181
