thetha;voltage;altura
1;1837.602041;0
2;2038.597403;0
3;2030.196721;0
4;2033.707692;0
5;2035.666667;0
6;2041.316667;0
7;2044.8;0
8;2046.360656;0
9;2038.517857;0
10;2030.564516;0
11;2033.688525;0
12;2039.982456;0
13;2100.387097;0
14;2094.982759;0
15;2138.051724;0
16;2127.166667;0
17;2132.8;0
18;2138.949153;0
19;2143.12069;0
20;2148.035088;0
21;2144.54;0
22;2127.951613;0
23;2129.761905;0
24;2136.462963;0
25;2140.075472;0
26;2176.262295;0
27;2239.9;0
28;2230.83871;0
29;2231.327869;0
30;2271.298246;0
31;2331.190476;0
32;2339.711864;0
33;2343.9;0
34;2412.58209;0
35;2416.453125;0
36;2420.310345;0
37;2363.684211;0
38;2342;0
39;2341.206897;0
40;2326.803571;0
41;2322.69697;0
42;2329.25;0
43;2267.679245;0
44;2244.864407;0
45;2244.491525;0
46;2230.105263;0
47;2213.327869;0
48;2196.9;0
49;2146.839286;0
50;2144.321429;0
51;2146.481481;0
52;2139.411765;0
53;2065.790323;0
54;2062.416667;0
55;2037.704918;0
56;2040.932203;0
57;2044.393443;0
58;2043.517241;0
59;2030.473684;0
60;2030.532258;0
61;2035.819672;0
62;2040.213115;0
63;1995.984375;0
64;2041.655738;0
65;2033.641509;0
66;2026.430769;0
67;2032.694915;0
68;1966.275862;0
69;1989.721311;0
70;1964.137931;0
71;1966.464286;0
72;1988.920635;0
73;2031.617647;0
74;1984.5;0
75;1996.237288;0
76;1993.269231;0
77;2033.290323;0
78;2029.107692;0
79;2032.492063;0
80;2037.545455;0
81;2041.016949;0
82;2043.887097;0
83;2042.574074;0
84;2026.7;0
85;2069.102564;0
86;2102.338983;0
87;2140.075758;0
88;2146.785714;0
89;2143.839286;0
90;2127.262295;0
91;2128.954545;0
92;2135.826923;0
93;2179.793651;0
94;2196.864407;0
95;2238.383333;0
96;2228.262295;0
97;2231.387097;0
98;2234.016949;0
99;2260.016129;0
100;2337.123077;0
101;2339.423077;0
102;2320.948276;0
103;2321.555556;0
104;2327.696429;0
105;2301.035088;0
106;2256.086207;0
107;2244.111111;0
108;2237.903846;0
109;2227.430769;0
110;2210.064516;0
111;2163.590164;0
112;2143.176471;0
113;2147.103448;0
