thetha;voltage;altura
1;2707.46875;0
2;2837.745763;0
3;2849.169492;0
4;2857.118644;0
5;2853.661017;0
6;2852.147541;0
7;2851.786885;0
8;2825.725806;0
9;2818.016393;0
10;2775.017857;0
11;2760.122807;0
12;2800.833333;0
13;2831.018182;0
14;2820;0
15;2853.067797;0
16;2855.315789;0
17;2853.277778;0
18;2844.590164;0
19;2848.35;0
20;2930.793103;0
21;2938.758621;0
22;2938.868687;0
23;2947.178571;0
24;3012.951613;0
25;3021.33871;0
26;3023.672414;0
27;3024.898305;0
28;3054.396552;0
29;3105.642857;0
30;3108.111111;0
31;3146.5;0
32;3190.172414;0
33;3192.714286;0
34;3260.25;0
35;3324.322034;0
36;3389.103448;0
37;3389.967742;0
38;3327.983871;0
39;3326.888889;0
40;3284.666667;0
41;3259.844828;0
42;3195.704918;0
43;3192.370968;0
44;3161.280702;0
45;3111.517241;0
46;3064.122807;0
47;3020.354839;0
48;3012.772727;0
49;3014.75;0
50;3000.4;0
51;2933.852459;0
52;2928.947368;0
53;2922.666667;0
54;2923.754098;0
55;2922.890909;0
56;2925.393443;0
57;2889.516667;0
58;2846.155172;0
59;2832.403509;0
60;2829.348485;0
61;2833.25;0
62;2836.438596;0
63;2841.915254;0
64;2842.932203;0
65;2838.907407;0
66;2833.777778;0
67;2837.696429;0
68;2840.844828;0
69;2871.725806;0
70;2849.472727;0
71;2851.948276;0
72;2856.483871;0
73;2842.474576;0
74;2841.576271;0
75;2806.033898;0
76;2687.877193;0
77;2498.813559;0
78;2281.704918;0
79;2156.762712;0
80;2182.067797;0
81;2246.084746;0
82;2247.836066;0
83;2160.578947;0
84;2140.793651;0
85;2143.625;0
86;2112.418182;0
87;2101.360656;0
88;2053.555556;0
89;1960.035714;0
90;1941.887097;0
91;1857.912281;0
92;1810.067797;0
93;1750.338983;0
94;1672.1;0
95;1643.633333;0
96;1645.822581;0
97;1648.709677;0
98;1650.035088;0
99;1647.730159;0
100;1646.684211;0
101;1637.816667;0
102;1641.84375;0
103;1645.233333;0
104;1648.530303;0
105;1568.15;0
106;1550.892857;0
107;1539.492063;0
108;1536.9;0
109;1540.172414;0
110;1541.172414;0
111;1543.067797;0
112;1543.163636;0
113;1476.649123;0
114;1470.47619;0
115;1440.894737;0
116;1443.438596;0
117;1442.583333;0
118;1447.288462;0
119;1436.1;0
120;1438.516667;0
121;1441.327586;0
122;1444.339286;0
123;1445.967213;0
124;1447.534483;0
125;1439.839286;0
126;1438.857143;0
127;1411.62069;0
128;1444.339286;0
129;1447.783333;0
130;1450.416667;0
131;1439.464286;0
132;1398.229508;0
133;1446.654545;0
134;1404.322034;0
135;1454.419355;0
136;1403.148148;0
137;1416.296296;0
138;1444.5625;0
139;1450.6;0
140;1449.77193;0
141;1450.603175;0
142;1447.431034;0
143;1442.508475;0
144;1443.704918;0
145;1445.983333;0
146;1448.535714;0
147;1452.174603;0
148;1452.389831;0
149;1438.75;0
150;1439.904762;0
151;1442.033898;0
152;1445.571429;0
153;1445.083333;0
154;1445.490196;0
155;1438.101695;0
156;1437.703125;0
157;1443.155172;0
158;1446.716667;0
159;1450.444444;0
160;1449.711538;0
161;1438.051724;0
162;1440.123077;0
163;1483.196429;0
164;1537.534483;0
165;1549.444444;0
166;1551.296296;0
167;1541.065574;0
168;1545.363636;0
169;1550.298246;0
170;1551.929825;0
171;1554.630769;0
172;1552.592593;0
173;1543.081967;0
174;1546.934426;0
175;1510.37931;0
176;1474.7;0
177;1455.210526;0
178;1448.107143;0
179;1440.5;0
180;1444.430769;0
181;1447.385965;0
182;1450.551724;0
183;1401.703704;0
184;1389.419355;0
185;1372.432432;0
186;1369.54386;0
187;1350.836066;0
188;1350.864407;0
189;1345.377049;0
190;1341.218182;0
191;1336.366667;0
192;1342.59322;0
193;1345.438596;0
194;1345.936508;0
195;1351.389831;0
196;1343.818182;0
197;1340.064516;0
198;1319.068966;0
199;1346.777778;0
200;1349.677419;0
201;1352.241379;0
202;1347.563636;0
203;1323.984127;0
204;1346.409836;0
205;1348.532258;0
206;1350.42623;0
207;1352.396552;0
208;1343.965517;0
209;1343.634921;0
210;1344.644068;0
211;1346.051724;0
212;1344.1;0
213;1347.746032;0
214;1345.442308;0
215;1337.809524;0
216;1341.621212;0
217;1345.559322;0
218;1346.803279;0
219;1348.830508;0
220;1347.444444;0
221;1336.836066;0
222;1421.861538;0
223;1440.783333;0
224;1446.4;0
225;1452.745763;0
226;1445.375;0
227;1441.533333;0
228;1446.241379;0
229;1449.482143;0
230;1450.576271;0
231;1481.034483;0
232;1493.034483;0
233;1535.238095;0
234;1549.032787;0
235;1552;0
236;1554.894737;0
237;1648.457627;0
238;1660.211538;0
239;1654.754098;0
