thetha;voltage;altura
1;3571.031496;0
2;3571.643939;0
3;3570.231293;0
4;3571.279412;0
5;3571.367347;0
6;3571.235294;0
7;3571.870748;0
8;3572.036232;0
9;3571.550388;0
10;3571.928058;0
11;3571.947761;0
12;3573.220779;0
13;3571.972603;0
14;3572.934641;0
15;3572.103704;0
16;3570.969925;0
17;3572.333333;0
18;3666.922481;0
19;3579.895105;0
20;3615.89916;0
21;3670.95302;0
22;3677.195804;0
23;3679.634615;0
24;3679.64539;0
25;3679.152318;0
26;3679.091503;0
27;3679.921053;0
28;3678;0
29;3680.708609;0
30;3769.796875;0
31;3784.143791;0
32;3786.132867;0
33;3785.333333;0
34;3786.074074;0
35;3785.032468;0
36;3786.422535;0
37;3786.482993;0
38;3813.489051;0
39;3787.164384;0
40;3845.875862;0
41;3846.043165;0
42;3847.149351;0
43;3846.161765;0
44;3846.035461;0
45;3847.006803;0
46;3846.975;0
47;3847.152866;0
48;3846.9125;0
49;3846.27907;0
50;3848.761194;0
51;3848.621212;0
52;3847.748538;0
53;3847.636905;0
54;3848.005587;0
55;3848.01676;0
56;3846.328467;0
57;3847.2125;0
58;3847.057325;0
59;3846.297872;0
60;3846.317073;0
61;3820.708333;0
62;3787.798507;0
63;3787.082707;0
64;3787.617647;0
65;3786.492958;0
66;3707.664122;0
67;3718.444444;0
68;3681.801471;0
69;3679.755102;0
70;3679.117241;0
71;3678.986842;0
72;3681.095238;0
73;3679.549383;0
74;3575.45098;0
75;3573.5;0
76;3573.155405;0
77;3572.419847;0
78;3572.355556;0
79;3572.913907;0
80;3572.27972;0
81;3573.723577;0
82;3532.732759;0
83;3549.933824;0
84;3466.731343;0
85;3466.381295;0
86;3464.770115;0
87;3465.431818;0
88;3465.030075;0
89;3465.98;0
90;3465.710345;0
91;3465.2;0
92;3465.171429;0
93;3463.626506;0
94;3465.834437;0
95;3467.104;0
96;3466.688;0
97;3466.526718;0
98;3465.377622;0
99;3465.282609;0
100;3466.786765;0
101;3465.02069;0
102;3465.140845;0
103;3467.310345;0
104;3467.014388;0
105;3465.789474;0
106;3466.708661;0
107;3466.85034;0
108;3466.609929;0
109;3466.473684;0
110;3465.696552;0
111;3466.427586;0
112;3465.844156;0
113;3466.008696;0
114;3466.6;0
115;3466.666667;0
116;3466.957143;0
117;3466.958042;0
118;3501.525424;0
119;3467.045226;0
120;3490.082707;0
121;3547.080537;0
122;3527.879699;0
123;3525.663866;0
124;3575.02439;0
125;3528.833333;0
126;3575.389535;0
127;3575.09396;0
128;3574.812903;0
129;3574.166667;0
130;3594.863309;0
131;3610.243902;0
132;3630.661417;0
133;3674.108108;0
134;3683.326087;0
135;3682.379085;0
136;3684.888112;0
137;3689.567376;0
138;3788.571429;0
139;3790.069767;0
140;3789.290541;0
141;3793.319444;0
142;3788.877419;0
143;3790.59375;0
144;3815.189394;0
145;3844.946429;0
146;3845.052632;0
147;3845.529412;0
148;3846.044118;0
149;3847.217647;0
150;3847.866667;0
151;3847.27439;0
152;3847.349398;0
153;3846.673759;0
154;3847.733333;0
155;3847.47561;0
156;3847.664804;0
157;3847.628743;0
158;3847.959538;0
159;3847.497041;0
160;3847.47929;0
161;3847.464968;0
162;3847.380368;0
163;3846.438849;0
164;3846.987952;0
165;3846.189394;0
166;3846.925;0
167;3845.746575;0
168;3845.767123;0
169;3845.907801;0
170;3820.845528;0
171;3789.566038;0
172;3787.712121;0
173;3788.095541;0
174;3788.137931;0
175;3746.649254;0
176;3695.079755;0
177;3683.398496;0
178;3683.699248;0
179;3683.592593;0
180;3683.19084;0
181;3683.93617;0
182;3683.350746;0
183;3643.869565;0
184;3683.582734;0
185;3643.3125;0
186;3579.318436;0
187;3575.764331;0
188;3575.722222;0
189;3575.474684;0
190;3575.034722;0
191;3575.982249;0
192;3575.136646;0
193;3575.225;0
194;3576.252101;0
195;3575.210191;0
196;3575.994975;0
197;3575.39375;0
198;3576.912;0
199;3576.806452;0
200;3575.766082;0
201;3576.859375;0
202;3575.402516;0
203;3575.89697;0
204;3576.976744;0
205;3575.0875;0
206;3575.8375;0
207;3576.717742;0
208;3577.277778;0
209;3576.846715;0
210;3576.774436;0
211;3576.943548;0
212;3577.238806;0
213;3576.862903;0
214;3577.826923;0
215;3576.656;0
216;3577.240876;0
217;3577.007813;0
218;3577.377778;0
219;3577.398496;0
220;3576.581197;0
221;3576.847328;0
222;3577.609272;0
223;3580.909091;0
224;3608.373016;0
225;3681.491979;0
226;3637.512;0
227;3684.719178;0
228;3685.263889;0
229;3685.163399;0
230;3684.901408;0
231;3685.454545;0
232;3684.601307;0
233;3684.863014;0
234;3732.242424;0
235;3744.232143;0
236;3792.146739;0
237;3792.653631;0
238;3792.562963;0
239;3791.513274;0
240;3791.208955;0
241;3814.727273;0
242;3819.322581;0
243;3843.853147;0
244;3844.716216;0
245;3844.205882;0
246;3844.246377;0
247;3844.267176;0
248;3845.03268;0
249;3844.778481;0
250;3844.942308;0
251;3845.689922;0
252;3844.960265;0
253;3844.22695;0
254;3846.145695;0
255;3845.70229;0
256;3845.609589;0
257;3845.0125;0
258;3844.993548;0
259;3845.738806;0
260;3845.613139;0
261;3844.236111;0
262;3845.542636;0
263;3845.496241;0
264;3845.708661;0
265;3844.896104;0
266;3845.108974;0
267;3844.945946;0
268;3845.721805;0
269;3845.496;0
270;3845.669291;0
271;3844.699346;0
272;3844.730263;0
273;3845.090909;0
274;3844.928105;0
275;3840.035714;0
276;3800.196203;0
277;3792.62585;0
278;3794.458904;0
279;3793.583333;0
280;3792.007874;0
281;3792.770992;0
282;3711.748299;0
283;3687.803922;0
284;3687.034722;0
285;3685.485915;0
286;3687.877551;0
287;3687.097403;0
288;3686.093023;0
289;3687.291391;0
290;3686.493333;0
291;3686.97351;0
292;3686.751724;0
293;3686.633987;0
294;3685.25;0
